Participant_ID	P10	Block Order	1	Date	2023-04-20-1949
Trialnumber	Winpos	Losspos	Side	Order	Choice	RT	Choiceside	Winchosen	LossChosen	TotalMoney	Fixonset	Choiceonset	Monitoronset	Winresonset	Lossresonset	stima	stimb	Blocknum
1	1	0	0	1	0	0.9228988885879517	left	0	-1	1.5	0.8200742999906652	1.8199709999607876	2.7493438000092283	3.7554071999620646	-1	i	f	1
2	0	0	1	1	1	2.0656418800354004	left	0	-1	1.5	4.776950199971907	5.777377799968235	7.848889599961694	8.855007799982559	-1	i	f	1
3	1	1	0	1	0	1.8348151445388794	left	0	-1	1.5	9.874237199954223	10.874702600005548	12.715861000004224	13.72178789996542	-1	i	f	1
4	1	1	0	1	1	0.7840136885643005	right	1	-1	1.65	14.741493899957277	15.742107799975201	16.532105699996464	17.538169700012077	-1	i	f	1
5	0	0	1	1	1	0.46096909046173096	left	0	-1	1.65	18.564927399973385	19.565144299995154	20.032636199961416	21.03839199995855	-1	i	f	1
6	1	0	0	1	1	2.836432695388794	right	1	-1	1.8	22.05639310000697	23.056924499978777	25.89988889999222	26.906111299991608	-1	i	f	1
7	0	1	0	0	0	2.62467885017395	left	-1	0	1.8	28.33504479995463	29.335591999988537	31.967833300004713	-1	32.97403290000511	i	f	1
8	1	0	0	0	1	1.13082754611969	right	-1	0	1.8	33.99426189996302	34.99489460000768	36.132070299994666	-1	37.13799239997752	i	f	1
9	0	0	1	0	0	4.85081148147583	right	-1	1	1.65	38.19088519999059	39.19186069996795	44.0490337999654	-1	45.05549790000077	i	f	1
10	1	1	1	0	0	3.6112093925476074	right	-1	0	1.65	46.08186829998158	47.082514599955175	50.70008320000488	-1	51.705825299955904	i	f	1
11	0	1	1	0	1	0.501090407371521	left	-1	1	1.5	52.723773500008974	53.72448589996202	54.23190539999632	-1	55.238667399971746	i	f	1
12	0	1	1	0	0	1.6290760040283203	right	-1	0	1.5	56.26105129998177	57.26157549995696	58.89831219997723	-1	59.90435879997676	i	f	1
13	0	0	0	0	0	1.7491159439086914	left	-1	1	1.35	60.9251514999778	61.92537019995507	63.681303999968804	-1	64.6872105000075	i	f	1
14	1	1	1	0	1	2.5747036933898926	left	-1	1	1.2	65.70120219996898	66.70095369999763	69.28164780000225	-1	70.28769139997894	i	f	1
15	1	1	1	1	0	0.6630387902259827	right	0	-1	1.2	71.31294239999261	72.31277179997414	72.9818805999821	73.98758109996561	-1	i	f	1
16	1	0	0	1	0	1.3818501234054565	left	0	-1	1.2	75.00977229996352	76.00991079997038	77.39795379998395	78.40378970000893	-1	i	f	1
17	0	0	1	1	1	0.7781491279602051	left	0	-1	1.2	79.42603519995464	80.42574069998227	81.40171109995572	82.40780899999663	-1	i	f	1
18	1	0	0	1	0	0.6801630854606628	left	0	-1	1.2	83.42646069999319	84.42783030000282	85.1149916999857	86.12082359998021	-1	i	f	1
19	0	0	0	1	1	0.4675877094268799	right	0	-1	1.2	87.14325899997493	88.14374269999098	88.6175774000003	89.6238333999645	-1	i	f	1
20	0	1	1	1	1	0.9082158803939819	left	0	-1	1.2	90.63499759999104	91.63547019998077	92.54943369998364	93.55527799995616	-1	i	f	1
21	0	1	1	0	0	0.7063822746276855	right	-1	0	1.2	94.5676017999649	95.56818740000017	96.28085859998828	-1	97.28720610000892	i	f	1
22	1	1	1	0	0	0.7859401702880859	right	-1	0	1.2	98.30472979997285	99.30514079995919	100.09760300000198	-1	101.10334789997432	i	f	1
23	0	0	1	0	0	0.3683620095252991	right	-1	1	1.05	102.12233240000205	103.12288649997208	103.49722699995618	-1	104.502822200011	i	f	1
24	0	0	0	0	0	0.6089646816253662	left	-1	1	0.9	105.51711839996278	106.51698879996547	107.1321511999704	-1	108.13795740000205	i	f	1
25	1	1	1	0	0	0.6687936186790466	right	-1	0	0.9	109.15543149999576	110.15545719995862	110.83063599996967	-1	111.83659869997064	i	f	1
26	0	0	1	0	0	2.831381320953369	right	-1	1	0.75	112.85457029996905	113.85729019995779	116.6975553999655	-1	117.70380680001108	i	f	1
27	1	1	1	0	1	0.621969997882843	left	-1	1	0.6	118.71842069999548	119.71910839999327	120.34708459995454	-1	121.35284770000726	i	f	1
28	1	0	0	0	0	0.8784741759300232	left	-1	1	0.45	122.36354120000033	123.3638845999958	124.2485298999818	-1	125.25512739998521	i	f	1
29	0	1	0	1	0	0.5261471271514893	left	1	-1	0.6	126.28098519996274	127.28141930000857	127.81367790000513	128.81935889995657	-1	i	f	1
30	0	1	0	1	0	0.5508872866630554	left	1	-1	0.75	129.83970059995772	130.8398967999965	131.39685499999905	132.40289450000273	-1	i	f	1
31	0	1	1	1	0	0.5300251245498657	right	1	-1	0.9	133.42667509999592	134.42694249999477	134.96349619998364	135.969043399964	-1	i	f	1
32	0	0	0	1	0	0.5050526261329651	left	1	-1	1.05	136.984804000007	137.98489849996986	138.496665499988	139.50251879997086	-1	i	f	1
33	0	1	0	1	0	0.8154286742210388	left	1	-1	1.2	140.52465699997265	141.5253227999783	142.54970169998705	143.55581769999117	-1	i	f	1
34	1	1	1	1	0	0.690500020980835	right	0	-1	1.2	144.56774039997254	145.56868490000488	146.2656466999906	147.2713539999677	-1	i	f	1
35	1	1	0	0	0	0.5590903759002686	left	-1	0	1.2	148.28061499999603	149.28130179998698	149.84671249997336	-1	150.8525003999821	i	f	1
36	0	1	0	0	0	0.8267409205436707	left	-1	0	1.2	151.86275699996622	152.8628100999631	153.6965818000026	-1	154.70301930001006	i	f	1
37	0	1	0	0	0	0.4156326949596405	left	-1	0	1.2	155.90837580000516	156.90824389999034	157.3297445999924	-1	158.3355348999612	i	f	1
38	0	1	1	0	0	0.7188915014266968	right	-1	0	1.2	159.3538644000073	160.35463469999377	161.079608	-1	162.0853452999727	i	f	1
39	1	1	1	0	0	0.6658205986022949	right	-1	0	1.2	163.28766909998376	164.28824769996572	164.96338279999327	-1	165.96934859995963	i	f	1
40	1	1	0	0	0	0.55814129114151	left	-1	0	1.2	167.18156810000073	168.18222859996604	168.74651589995483	-1	169.75265189999482	i	f	1
41	0	0	1	0	0	0.387005090713501	right	-1	1	1.05	170.7752226999728	171.7756240000017	172.36268419999396	-1	173.36901399999624	i	f	1
42	1	0	0	1	0	0.3987123966217041	left	0	-1	1.05	174.39193509996403	175.3916000999743	175.7965649999678	176.8026375999907	-1	i	f	1
43	1	0	0	1	0	0.627794623374939	left	0	-1	1.05	177.81170319998637	178.8122502999613	179.44624660001136	180.45193129999097	-1	i	f	1
44	0	1	0	1	1	0.4525446891784668	right	0	-1	1.05	181.47089910000795	182.47060329996748	182.92931679997128	183.93492579995655	-1	i	f	1
45	1	0	1	1	1	0.6018542051315308	left	1	-1	1.2	184.95362929999828	185.95332829997642	186.56250419997377	187.5683493000106	-1	i	f	1
46	1	0	0	1	1	0.5000404119491577	right	1	-1	1.35	188.58910489996197	189.58962169999722	190.09588039998198	191.10179789998801	-1	i	f	1
47	0	0	0	1	1	1.0690051317214966	right	0	-1	1.35	192.12296730000526	193.12278779997723	194.19763010001043	195.20353339996655	-1	i	f	1
48	1	0	0	1	1	1.41693115234375	right	1	-1	1.5	196.2224181999918	197.22285019996343	198.64587859995663	199.65178139996715	-1	i	f	1
49	1	0	1	0	1	0.5459818840026855	left	-1	0	1.5	200.67472959996667	201.6751110999612	202.42314259998966	-1	203.428939800011	i	f	1
