Participant_ID	P11	Block Order	1	Date	2023-04-27-1735
Trialnumber	Winpos	Losspos	Side	Order	Choice	RT	Choiceside	Winchosen	LossChosen	TotalMoney	Fixonset	Choiceonset	Monitoronset	Winresonset	Lossresonset	stima	stimb	Blocknum
1	0	0	0	1	0	1.7028281688690186	left	1	-1	1.65	0.6226507000101265	1.62325969999074	3.332560899987584	4.338477499986766	-1	b	j	1
2	0	0	0	1	0	0.18123890459537506	left	1	-1	1.8	5.361201599997003	6.361410100013018	6.549627000000328	7.555993699992541	-1	b	j	1
3	0	0	1	1	1	0.0	left	0	-1	1.8	8.579958499991335	9.58035820000805	9.7613066000049	10.766913100000238	-1	b	j	1
4	0	0	0	1	0	0.9897534251213074	left	1	-1	1.95	11.785657400003402	12.786317199992482	13.782305800006725	14.787865099991905	-1	b	j	1
5	0	0	0	1	1	1.1159286499023438	right	0	-1	1.95	15.809304499998689	16.809937399986666	17.932078100013314	18.938041399989743	-1	b	j	1
6	0	0	1	1	0	2.4438223838806152	right	1	-1	2.1	19.947634400014067	20.948538099997677	23.398541700007627	24.404544699995313	-1	b	j	1
7	0	0	1	1	0	0.9049491882324219	right	1	-1	2.25	25.426425799989374	26.427184800006216	27.338575000001583	28.344245599990245	-1	b	j	1
8	1	1	0	1	0	0.8087062835693359	left	0	-1	2.25	29.535679099994013	30.536010699986946	31.351354899990838	32.35776559999795	-1	b	j	1
9	1	1	1	1	1	0.43235498666763306	left	1	-1	2.4	33.37650390001363	34.37677830000757	34.81511719999253	35.82154279999668	-1	b	j	1
10	1	1	1	1	1	0.71232670545578	left	1	-1	2.55	36.84614410001086	37.846584799990524	38.5648557000095	39.57077079999726	-1	b	j	1
11	1	1	0	1	1	0.7900676131248474	right	1	-1	2.7	40.58534459999646	41.585744499985594	42.382286400010344	43.388356300012674	-1	b	j	1
12	0	0	0	1	1	1.2786670923233032	right	0	-1	2.7	44.41145760001382	45.41203209999367	46.69824709999375	47.70404069998767	-1	b	j	1
13	1	1	0	1	1	1.2957819700241089	right	1	-1	2.85	48.760737600008724	49.76222000000416	51.064543299988145	52.07034669999848	-1	b	j	1
14	0	0	1	1	1	0.45174750685691833	left	0	-1	2.85	53.08998950000387	54.09019449999323	54.54846580000594	55.55434159998549	-1	b	j	1
15	1	1	1	1	0	0.6530979871749878	right	0	-1	2.85	56.57196949998615	57.57243130001007	58.231678999989526	59.237434599985136	-1	b	j	1
16	0	0	1	1	1	0.7680838108062744	left	0	-1	2.85	60.25691699999152	61.25760069998796	62.032134600012796	63.037750299990876	-1	b	j	1
17	1	1	1	1	1	0.6668184995651245	left	1	-1	3.0	64.05826590000652	65.0583076000039	65.73118699999759	66.73691330000293	-1	b	j	1
18	1	1	0	1	0	0.6466848254203796	left	0	-1	3.0	67.76073529999121	68.76185989999794	69.41457950000768	70.42130439999164	-1	b	j	1
19	1	1	1	1	0	0.4171585142612457	right	0	-1	3.0	71.44077099999413	72.44115329999477	72.86411709999084	73.8699595000071	-1	b	j	1
20	1	1	0	1	0	0.0	left	0	-1	3.0	74.89015290001407	75.89030810000258	75.89683330000844	76.90239959998871	-1	b	j	1
21	1	1	1	1	1	0.5853887796401978	left	1	-1	3.15	77.9224178000004	78.92307530000107	79.51455779999378	80.52021160000004	-1	b	j	1
22	1	1	0	1	0	0.6110284924507141	left	0	-1	3.15	81.53024739999091	82.53069230000256	83.14781220001169	84.15400559999398	-1	b	j	1
23	0	0	0	1	0	0.1839296966791153	left	1	-1	3.3	85.17439410000225	86.1744483000075	86.36425549999694	87.36998700001277	-1	b	j	1
24	0	0	1	1	1	5.180997848510742	left	0	-1	3.3	88.6003589000029	89.6006245999888	94.78956380000454	95.79596960000345	-1	b	j	1
25	0	0	1	1	1	0.8468260169029236	left	0	-1	3.3	96.80575510000926	97.80762949999189	98.66254049999407	99.66853389999596	-1	b	j	1
26	0	0	1	1	1	1.383352279663086	left	0	-1	3.3	100.67796150001232	101.67860519999522	103.0689691999869	104.07537159998901	-1	b	j	1
27	0	0	0	1	0	1.3419175148010254	left	1	-1	3.45	105.09251210000366	106.0930825000105	107.44186079999781	108.44744079999509	-1	b	j	1
28	0	0	0	1	0	0.30508849024772644	left	1	-1	3.6	109.46882949999417	110.46911000000546	110.78058849999798	111.78632650000509	-1	b	j	1
29	0	0	1	1	1	0.4697391986846924	left	0	-1	3.6	112.79693159999442	113.79629309999291	114.27355069998885	115.27901880000718	-1	b	j	1
30	1	1	1	1	1	0.8596886992454529	left	1	-1	3.75	116.29745119999279	117.29800129999057	118.16375629999675	119.16946549998829	-1	b	j	1
31	1	1	1	1	1	0.11496129631996155	left	1	-1	3.9	120.18974929998512	121.19014270001207	121.31384310001158	122.319522100006	-1	b	j	1
32	1	1	0	1	0	0.6971651911735535	left	0	-1	3.9	123.34261379999225	124.34301479998976	125.04711169999791	126.05309430000489	-1	b	j	1
