Participant_ID	P11	Block Order	1	Date	2023-05-05-1535
Trialnumber	Winpos	Losspos	Side	Order	Choice	RT	Choiceside	Winchosen	LossChosen	TotalMoney	Fixonset	Choiceonset	Monitoronset	Winresonset	Lossresonset	stima	stimb	Blocknum
1	0	0	0	1	0	1.6764075756072998	left	1	-1	1.65	0.5634446000003663	1.5636537999998836	3.4252536999993026	4.429365899999539	-1	b	f	1
2	0	0	1	1	0	0.5770015120506287	right	1	-1	1.8	5.639271100000769	6.639731900000697	7.2218606999995245	8.226153300000078	-1	b	f	1
3	1	1	0	1	0	0.652094304561615	left	0	-1	1.8	9.261173700000654	10.261797099999967	10.918387699999585	11.922996999999668	-1	b	f	1
4	1	1	1	1	0	3.865488290786743	right	0	-1	1.8	12.939234199999191	13.939729400000942	17.81008660000043	18.814270700000634	-1	b	f	1
5	1	1	1	1	1	0.5424194931983948	left	1	-1	1.95	19.836961499999234	20.837562999999136	21.384575599999152	22.38881760000004	-1	b	f	1
6	1	1	1	0	1	0.708043098449707	left	-1	1	1.8	30.570304900000338	31.57152750000023	32.45143370000005	-1	33.45600899999954	j	h	2
7	1	1	1	0	0	0.9941645264625549	right	-1	0	1.8	34.46766310000021	35.46827719999965	36.467022500000894	-1	37.47143169999981	j	h	2
8	1	1	0	0	0	0.6545351147651672	left	-1	0	1.8	38.6432877999996	39.64366920000066	40.3029260000003	-1	41.30730819999917	j	h	2
9	1	1	1	0	0	1.4854226112365723	right	-1	0	1.8	42.48752810000042	43.488056199999846	44.978205600000365	-1	45.98285349999969	j	h	2
10	0	0	0	0	0	0.7233468890190125	left	-1	1	1.65	47.15707929999917	48.15764499999932	48.88566340000034	-1	49.890458600000784	j	h	2
11	1	1	1	1	1	0.8186333775520325	left	1	-1	1.8	55.001232299999174	56.00214930000038	56.82673799999975	57.83102350000081	-1	i	o	3
12	1	0	0	1	1	0.6849737167358398	right	1	-1	1.95	59.01249049999933	60.012816500000554	60.70363019999968	61.70805920000021	-1	i	o	3
13	1	1	0	1	1	0.6329321265220642	right	1	-1	2.1	62.90142349999951	63.901582500000586	64.53993989999981	65.54419000000053	-1	i	o	3
14	1	1	0	0	1	0.603412926197052	right	-1	1	1.95	66.7265838000003	67.72727040000063	68.33537649999926	-1	69.3395700000001	i	o	3
15	1	1	1	0	0	0.7424448728561401	right	-1	0	1.95	70.65780670000095	71.65836459999991	72.40547270000025	-1	73.40947290000076	i	o	3
16	0	1	1	0	0	1.8137794733047485	right	-1	0	1.95	74.58280580000064	75.58343520000017	77.40240769999946	-1	78.4065542999997	i	o	3
17	1	1	0	0	0	1.3256967067718506	left	-1	0	1.95	79.58681509999951	80.58727759999965	81.91752570000062	-1	82.92195920000086	i	o	3
18	0	0	0	1	0	0.6034414768218994	left	1	-1	2.1	84.09402000000046	85.09445360000063	85.70250230000056	86.70652859999973	-1	i	o	3
19	0	0	1	1	0	0.7829383015632629	right	1	-1	2.25	87.72849879999922	88.72915029999967	89.51694759999918	90.52108580000095	-1	i	o	3
20	0	0	1	1	0	0.6314337849617004	right	1	-1	2.4	91.69374930000049	92.69424640000034	93.33033430000069	94.33448710000084	-1	i	o	3
21	0	0	0	1	0	1.1606378555297852	left	1	-1	2.55	95.51735890000054	96.51792940000087	97.68349390000003	98.68761810000069	-1	i	o	3
22	1	1	0	0	0	0.7263568043708801	left	-1	0	2.55	99.86889929999961	100.86921900000016	101.60035729999981	-1	102.60469379999995	i	o	3
23	1	1	1	0	0	2.669855833053589	right	-1	0	2.55	103.6212985000002	104.62224699999933	107.29659589999937	-1	108.30073210000046	i	o	3
24	1	1	0	0	0	0.8035817742347717	left	-1	0	2.55	109.35523950000061	110.3559650999996	111.1642496000004	-1	112.1686494000005	i	o	3
25	1	1	0	0	0	0.6260225772857666	left	-1	0	2.55	113.18518269999913	114.18578499999967	114.81632580000041	-1	115.82038309999916	i	o	3
