Participant_ID	P11	Block Order	1	Date	2023-04-28-1119
Trialnumber	Winpos	Losspos	Side	Order	Choice	RT	Choiceside	Winchosen	LossChosen	TotalMoney	Fixonset	Choiceonset	Monitoronset	Winresonset	Lossresonset	stima	stimb	Blocknum
1	0	0	0	1	0	0.5004119277000427	left	1	-1	1.65	0.5763407000049483	1.5766288999875542	2.083389699982945	3.0895323999866378	-1	G	h	1
2	0	0	0	1	0	2.2477738857269287	left	1	-1	1.8	4.113303899997845	5.113887599989539	7.367962399992393	8.374003799981438	-1	G	h	1
3	0	0	1	1	0	1.079197883605957	right	1	-1	1.95	9.396938599995337	10.3973228999821	11.482949299999746	12.488859899982344	-1	G	h	1
4	0	0	0	1	0	0.9209368228912354	left	1	-1	2.1	13.505278399999952	14.50572290000855	15.433116000000155	16.439367499988293	-1	G	h	1
5	0	0	0	1	0	0.5723757147789001	left	1	-1	2.25	17.452166100003524	18.45401519999723	19.032795799983433	20.03920579998521	-1	G	h	1
6	0	0	1	1	0	1.824758768081665	right	1	-1	2.4	21.050403400004143	22.05152539999108	23.882680399983656	24.888467899989337	-1	G	h	1
7	0	0	1	1	0	9.560314178466797	right	1	-1	2.55	25.900122599996394	26.9008288999903	36.650855799991405	37.656882099981885	-1	G	h	1
8	1	1	0	1	0	4.197468280792236	left	0	-1	2.55	38.67831699998351	39.678541100001894	43.88238219998311	44.88819759999751	-1	G	h	1
9	1	1	1	1	0	1.2498526573181152	right	0	-1	2.55	45.907012399984524	46.90781760000391	48.16578579999623	49.17148160000215	-1	G	h	1
10	1	1	1	1	0	9.848847389221191	right	0	-1	2.55	50.19296499999473	51.193518499989295	61.049610499991104	62.055612199997995	-1	G	h	1
11	1	1	0	1	0	2.3604063987731934	left	0	-1	2.55	63.06522170000244	64.06522269998095	66.43199929999537	67.43806990000303	-1	G	h	1
12	0	0	0	1	1	0.6447808742523193	right	0	-1	2.55	68.44671019999078	69.44765329998336	70.09878649999155	71.10463359998539	-1	G	h	1
13	1	1	0	1	0	2.2509047985076904	left	0	-1	2.55	72.1223909999826	73.12350159999914	75.38179139999556	76.38775880000321	-1	G	h	1
14	0	0	1	1	1	0.7682924866676331	left	0	-1	2.55	77.40776349999942	78.40842279998469	79.18315019999864	80.18922010000097	-1	G	h	1
15	1	1	1	1	1	1.738984227180481	left	1	-1	2.7	81.40300109999953	82.40369209999335	84.14943550000316	85.15531850000843	-1	G	h	1
16	0	0	1	1	1	1.4535808563232422	left	0	-1	2.7	86.35941969999112	87.3599159999867	88.82015349998255	89.8260764000006	-1	G	h	1
17	1	1	1	1	0	1.2256900072097778	right	0	-1	2.7	90.83453170000575	91.83520979998866	93.0669888999837	94.07299519999651	-1	G	h	1
18	1	1	0	1	0	0.5940598845481873	left	0	-1	2.7	95.11549910000758	96.11673350000638	96.89972640000633	97.90582169999834	-1	G	h	1
19	1	1	1	1	0	0.9665197134017944	right	0	-1	2.7	98.92454259999795	99.9249792000046	100.89791949998471	101.9040176999988	-1	G	h	1
20	1	1	0	1	1	0.49242159724235535	right	1	-1	2.85	102.93016570000327	103.93183039998985	104.4322123999882	105.43835609999951	-1	G	h	1
21	1	1	1	1	1	0.3935188055038452	left	1	-1	3.0	106.63410669998848	107.63468769998872	108.0344211999909	109.04046469999594	-1	G	h	1
22	1	1	0	1	1	0.6076965928077698	right	1	-1	3.15	110.20074509998085	111.20121520000976	111.81501719998778	112.82086639999761	-1	G	h	1
23	0	0	0	1	1	0.6503390073776245	right	0	-1	3.15	113.95993310000631	114.96041219998733	115.79919869999867	116.80503459999454	-1	G	h	1
24	0	0	1	1	1	0.7719181180000305	left	0	-1	3.15	118.22001299998374	119.22016689999145	119.99839359999169	121.00435619999189	-1	G	h	1
25	0	0	1	1	0	1.5821528434753418	right	1	-1	3.3	122.02618159999838	123.02599289998761	124.61423999999533	125.61986989999423	-1	G	h	1
26	0	0	1	1	1	0.7246232032775879	left	0	-1	3.3	126.63288809999358	127.63346469998942	128.36426659999415	129.37078810000094	-1	G	h	1
27	0	0	0	1	0	0.7340310215950012	left	1	-1	3.45	130.39229059999343	131.39330709999194	132.3150644999987	133.32146619999548	-1	G	h	1
28	0	0	0	1	0	0.6686813831329346	left	1	-1	3.6	134.36333200000809	135.36376859998563	136.21460479998495	137.22076219998416	-1	G	h	1
29	0	0	1	1	0	1.1005090475082397	right	1	-1	3.75	138.23108729999512	139.23166180000408	140.51405629998771	141.52006229999824	-1	G	h	1
30	1	1	1	1	0	0.9626206755638123	right	0	-1	3.75	142.57773029999225	143.57850309999776	144.5474411000032	145.5532486999873	-1	G	h	1
31	1	1	1	1	0	0.7442502975463867	right	0	-1	3.75	146.5754900999891	147.57585429999745	148.68925979998312	149.69539259999874	-1	G	h	1
32	1	1	0	1	1	0.7889003753662109	right	1	-1	3.9	150.92758960000356	151.92804810000234	152.9018131000048	153.90748689998873	-1	G	h	1
33	1	1	0	1	0	0.9230815768241882	left	0	-1	3.9	155.1010876999935	156.10143509999034	157.03101189999143	158.03683910000836	-1	G	h	1
34	1	1	0	1	1	5.055663108825684	right	1	-1	4.05	159.26230619999114	160.26287129998673	165.49886629998218	166.50529110000934	-1	G	h	1
35	1	1	0	1	1	1.0792139768600464	right	1	-1	4.2	167.5283206999884	168.5288889000076	169.6161608999828	170.6222698999918	-1	G	h	1
36	1	1	0	1	1	1.3481374979019165	right	1	-1	4.35	171.64304090000223	172.64372009999352	173.99802379999892	175.0045487000025	-1	G	h	1
37	0	0	0	1	1	0.9211968779563904	right	0	-1	4.35	176.20357899999362	177.20404099998996	178.13175060000503	179.13767999998527	-1	G	h	1
38	0	0	0	1	1	0.5919219255447388	right	0	-1	4.35	180.14884789998177	181.14928929999587	181.74758749999455	182.75334029999794	-1	G	h	1
39	0	0	0	1	1	1.0988235473632812	right	0	-1	4.35	183.77408209998976	184.77473459998146	185.88069130000076	186.8865816000034	-1	G	h	1
40	1	1	0	1	0	0.43544450402259827	left	0	-1	4.35	188.0423082000052	189.04315419998602	189.66511870000977	190.6712555999984	-1	G	h	1
41	1	1	1	0	1	0.3540535867214203	left	-1	1	4.2	194.1337751999963	195.13502119999612	195.49625949998153	-1	196.50249949999852	j	f	2
42	1	1	1	0	0	0.5708401799201965	right	-1	0	4.2	197.51917009998579	198.51973139998154	199.09681829999317	-1	200.10269539998262	j	f	2
43	1	1	0	0	0	0.8414182066917419	left	-1	0	4.2	201.11606289999327	202.11710869998205	202.96496569999726	-1	203.97100570000475	j	f	2
44	1	1	1	0	0	0.4532284140586853	right	-1	0	4.2	205.00486339998315	206.00643979999586	206.4661756999849	-1	207.473295600008	j	f	2
