Participant_ID	P11	Block Order	1	Date	2023-05-09-1439
Trialnumber	Winpos	Losspos	Side	Order	Choice	RT	Choiceside	Winchosen	LossChosen	TotalMoney	Fixonset	Choiceonset	Monitoronset	Winresonset	Lossresonset	stima	stimb	Blocknum
1	0	0	0	1	0	0.33578959107398987	left	1	-1	1.65	0.8466168000013568	1.8469125000119675	2.1875958000018727	3.192411900003208	-1	j	e	1
2	0	0	1	1	0	1.2109068632125854	right	1	-1	1.8	4.497920800000429	5.4972787000006065	6.712986400001682	7.717354199994588	-1	j	e	1
3	1	1	0	1	0	1.6232980489730835	left	0	-1	1.8	8.754370600014227	9.754734599991934	11.383502899989253	12.3883182000136	-1	j	e	1
4	1	1	1	1	1	1.14781653881073	left	1	-1	1.95	13.407817100000102	14.408583899989026	15.94554159999825	16.950403800001368	-1	j	e	1
5	1	1	1	1	1	2.0576038360595703	left	1	-1	2.1	18.198094699997455	19.197802899987437	21.45274119998794	22.457168699998874	-1	j	e	1
6	1	1	1	0	1	0.7354702949523926	left	-1	1	1.95	24.54993859998649	25.55053899998893	26.291034699999727	-1	27.295859300007578	y	o	2
7	1	1	1	0	0	0.6051403284072876	right	-1	0	1.95	28.309216599998763	29.30942999999388	29.919663600012427	-1	30.923936000006506	y	o	2
8	1	1	0	0	0	8.0264892578125	left	-1	0	1.95	32.02623849999509	33.026519100007135	41.24768380000023	-1	42.251933599996846	y	o	2
9	1	1	1	0	0	0.9996122717857361	right	-1	0	1.95	43.259102699987125	44.259875699994154	45.264142800006084	-1	46.26835399999982	y	o	2
10	0	0	0	0	0	0.8320688009262085	left	-1	1	1.8	47.276739299995825	48.27694340000744	49.113748500007205	-1	50.1181510000024	y	o	2
11	1	1	1	1	1	0.38455939292907715	left	1	-1	1.95	52.283084800001234	53.283306500001345	53.67298750000191	54.67904399998952	-1	c	h	3
12	1	0	0	1	1	0.45530930161476135	right	1	-1	2.1	55.7010896000138	56.70144470001105	57.16143519998877	58.16620090001379	-1	c	h	3
13	1	1	0	1	0	0.3976112902164459	left	0	-1	2.1	59.378226900007576	60.378373699990334	60.78054310000152	61.78563510000822	-1	c	h	3
14	1	1	0	0	0	0.6950749158859253	left	-1	0	2.1	62.996523800014984	63.99617629998829	64.69581669999752	-1	65.70003519998863	c	h	3
15	1	1	1	0	0	2.5119237899780273	right	-1	0	2.1	67.0968806000019	68.09777220000979	70.8030199999921	-1	71.80795300001046	c	h	3
16	0	1	1	0	1	0.925154983997345	left	-1	1	1.95	73.0146676999866	74.0156927999924	74.94551469999715	-1	75.94994270001189	c	h	3
17	1	1	0	0	1	0.9690312743186951	right	-1	1	1.8	76.9694531999994	77.96970499999588	78.94283899999573	-1	79.94717070000479	c	h	3
18	0	0	0	1	0	0.5597344040870667	left	1	-1	1.95	81.34983910000301	82.35058600001503	82.91456360000302	83.91967850000947	-1	c	h	3
19	0	0	1	1	0	0.9647076725959778	right	1	-1	2.1	84.94134910000139	85.94159969998873	86.91084090000368	87.91491490000044	-1	c	h	3
20	0	0	1	1	0	1.0775012969970703	right	1	-1	2.25	88.95462430000771	89.9551560000109	91.22805060000974	92.23281039998983	-1	c	h	3
21	0	0	0	1	0	0.6708279848098755	left	1	-1	2.4	93.25101119998726	94.25213420001091	94.92775140001322	95.9323172000004	-1	c	h	3
22	1	1	0	0	0	0.5844290852546692	left	-1	0	2.4	96.95472350000637	97.95493489998626	98.54386929998873	-1	99.54828059999272	c	h	3
23	1	1	1	0	0	1.4813344478607178	right	-1	0	2.4	100.55761889999849	101.55821320001269	103.04418369999621	-1	104.04909879999468	c	h	3
24	1	1	0	0	0	0.44227468967437744	left	-1	0	2.4	105.06532779999543	106.06580360000953	106.51309009999386	-1	107.51724990000366	c	h	3
25	1	1	0	0	0	0.6360419988632202	left	-1	0	2.4	108.53477090000524	109.53581609998946	110.17717859998811	-1	111.18159029999515	c	h	3
