Participant_ID	P11	Block Order	1	Date	2023-05-05-1519
Trialnumber	Winpos	Losspos	Side	Order	Choice	RT	Choiceside	Winchosen	LossChosen	TotalMoney	Fixonset	Choiceonset	Monitoronset	Winresonset	Lossresonset	stima	stimb	Blocknum
1	0	0	0	1	0	1.1716943979263306	left	1	-1	1.65	0.5999965999999404	1.6005113999999594	2.7776935000001686	3.7825367000004917	-1	f	i	1
2	0	0	1	1	1	1.1775027513504028	left	0	-1	1.65	4.949078399999962	5.949394700000084	7.290821600000527	8.295331199999964	-1	f	i	1
3	1	1	0	1	0	3.991425037384033	left	0	-1	1.65	9.312758900000517	10.314375400000245	14.470236699999987	15.474412900000061	-1	f	i	1
4	1	1	1	1	0	10.234979629516602	right	0	-1	1.65	16.492491099999825	17.493110000000343	27.73287210000035	28.737144600000647	-1	f	i	1
5	1	1	1	1	1	1.0673884153366089	left	1	-1	1.8	29.89491960000032	30.895602200000212	31.968764199999896	32.97281930000008	-1	f	i	1
6	1	1	1	0	1	1.7718335390090942	left	-1	1	1.65	37.31796100000065	38.317983200000526	40.40577780000058	-1	41.41035240000019	b	K	2
7	1	1	1	0	0	1.0904935598373413	right	-1	0	1.65	42.58852120000029	43.58911890000036	44.833448400000634	-1	45.83765420000054	b	K	2
8	1	1	0	0	0	1.9245719909667969	left	-1	0	1.65	46.99358360000042	47.99442900000031	50.073886300000595	-1	51.077993300000344	b	K	2
9	1	1	1	0	0	4.771681785583496	right	-1	0	1.65	52.11416819999977	53.1147719999999	57.89101750000009	-1	58.89535539999997	b	K	2
10	0	0	0	0	0	1.3149023056030273	left	-1	1	1.5	60.068603200000325	61.069174700000076	62.39003580000008	-1	63.394333899999765	b	K	2
11	1	1	1	1	1	0.8683329820632935	left	1	-1	1.65	342.6527495	343.6534351	344.5269680000001	345.5319358000006	-1	G	h	3
12	1	0	0	1	1	0.6687353849411011	right	1	-1	1.8	346.5691379	347.5695080000005	348.24290999999994	349.24725709999984	-1	G	h	3
13	1	1	0	1	1	2.0852572917938232	right	1	-1	1.95	350.41197660000034	351.4121874000002	353.5030360999999	354.50810770000044	-1	G	h	3
14	1	1	0	0	1	4.965116024017334	right	-1	1	1.8	355.5373567000006	356.53747139999996	361.50711070000034	-1	362.51130960000046	G	h	3
15	1	1	1	0	1	3.065802574157715	left	-1	1	1.65	363.7334150000006	364.7329273000005	367.8033372	-1	368.8078833999998	G	h	3
16	0	1	1	0	0	0.5707817077636719	right	-1	0	1.65	370.04610200000025	371.04652220000025	371.62214099999983	-1	372.6264976000002	G	h	3
17	1	1	0	0	0	1.9859105348587036	left	-1	0	1.65	373.6753297000005	374.6760112000002	377.0629465000002	-1	378.0672755000005	G	h	3
18	0	0	0	1	0	9.18338680267334	left	1	-1	1.8	379.2835666000001	380.2841083000003	389.4729591000005	390.4771976000002	-1	G	h	3
19	0	0	1	1	0	0.9030665755271912	right	1	-1	1.95	391.4967809	392.4970546000004	393.6050009999999	394.6094012000003	-1	G	h	3
20	0	0	1	1	0	4.160042762756348	right	1	-1	2.1	395.82896770000025	396.82945500000005	400.9941858000002	401.9983990999999	-1	G	h	3
21	0	0	0	1	0	2.4044086933135986	left	1	-1	2.25	403.21851289999995	404.21862560000045	406.62768140000026	407.6319589000004	-1	G	h	3
22	1	1	0	0	0	1.295573353767395	left	-1	0	2.25	408.8419235000001	409.84250599999996	411.1426147000002	-1	412.1467566000001	G	h	3
23	1	1	1	0	0	1.0152554512023926	right	-1	0	2.25	413.1558335999998	414.1563672000002	415.1762253000006	-1	416.18044929999996	G	h	3
24	1	1	0	0	0	0.8902477025985718	left	-1	0	2.25	417.3981143000001	418.3985595000004	419.2935207999999	-1	420.29801039999984	G	h	3
25	1	1	0	0	0	0.7911115288734436	left	-1	0	2.25	421.3135809000005	422.31412739999996	423.1098636000006	-1	424.11433840000063	G	h	3
