Participant_ID	P11	Block Order	1	Date	2023-05-11-0048
Trialnumber	Winpos	Losspos	Side	Order	Choice	RT	Choiceside	Winchosen	LossChosen	TotalMoney	Fixonset	Choiceonset	Monitoronset	Winresonset	Lossresonset	stima	stimb	Blocknum
1	0	0	0	1	1	1.515059232711792	right	0	-1	1.5	0.5806901000032667	1.5812425000040093	3.101075000013225	4.105836900009308	-1	c	o	1
2	0	0	1	1	1	0.3415777087211609	left	0	-1	1.5	5.2976482000085525	6.298016500004451	6.817744900006801	7.822117500007153	-1	c	o	1
3	1	1	0	1	1	0.5157033801078796	right	1	-1	1.65	8.82990010001231	9.830663800006732	10.351685600006022	11.355915799998911	-1	c	o	1
4	1	1	1	1	1	2.633368492126465	left	1	-1	1.8	12.377730200008955	13.377843100010068	16.015697800001362	17.0201575000101	-1	c	o	1
5	1	1	1	1	1	0.9477142095565796	left	1	-1	1.95	18.030862500003423	19.031400100007886	19.98358840000583	20.988191200012807	-1	c	o	1
6	1	1	1	0	0	1.608638048171997	right	-1	0	1.95	72.8666641000018	73.86686340000597	75.48043190001044	-1	76.4847146000102	i	y	2
7	1	1	1	0	0	0.42503151297569275	right	-1	0	1.95	77.5021631999989	78.50243120000232	78.9348236000078	-1	79.93881620001048	i	y	2
8	1	1	0	0	1	0.4118199050426483	right	-1	1	1.8	81.30119090000517	82.30181800000719	82.71848920000775	-1	83.72276160000183	i	y	2
9	1	1	1	0	0	0.6708506941795349	right	-1	0	1.8	84.77528940000047	85.77568650001194	86.45121410000138	-1	87.45554500000435	i	y	2
10	0	0	0	0	1	1.1596765518188477	right	-1	0	1.8	88.51944310001272	89.51990260000457	90.68420780000451	-1	91.68899080000119	i	y	2
11	1	1	1	1	0	5.629434108734131	right	0	-1	1.8	94.39710919999925	95.39838950001285	101.21287220000522	102.21744000000763	-1	K	h	3
12	1	0	0	1	1	0.49934449791908264	right	1	-1	1.95	103.40991300001042	104.41088550000859	104.91476860000694	105.91878670000006	-1	K	h	3
13	1	1	0	1	1	1.1445095539093018	right	1	-1	2.1	106.93086300000141	107.93122670000594	109.08052529999986	110.08488620001299	-1	K	h	3
14	1	1	0	0	1	0.579987108707428	right	-1	1	1.95	111.09642210000311	112.09689359999902	112.68189940000593	-1	113.68633970001247	K	h	3
15	1	1	1	0	0	0.7211179137229919	right	-1	0	1.95	114.70439740001166	115.70485650000046	116.4326146000094	-1	117.43721230000665	K	h	3
16	0	1	1	0	0	0.2360917031764984	right	-1	0	1.95	118.4537990000099	119.45426810000208	119.6968737999996	-1	120.70106930000475	K	h	3
17	1	1	0	0	1	0.5436956882476807	right	-1	1	1.8	121.71759470000688	122.71795600000769	123.2661625000037	-1	124.27057410000998	K	h	3
18	0	0	0	1	1	0.40491411089897156	right	0	-1	1.8	125.28991650001262	126.29023410000082	126.70031490000838	127.70443150000938	-1	K	h	3
19	0	0	1	1	0	0.904114305973053	right	1	-1	1.95	128.7227708999999	129.72337780000817	130.6320287000126	131.6364043000067	-1	K	h	3
20	0	0	1	1	0	1.8589760065078735	right	1	-1	2.1	132.68256900001143	133.68294840000453	135.54650510000647	136.55066640001314	-1	K	h	3
21	0	0	0	1	1	0.45490050315856934	right	0	-1	2.1	137.57342580000113	138.57455230000778	139.21558820000791	140.21982460000436	-1	K	h	3
22	1	1	0	0	1	0.2729729115962982	right	-1	1	1.95	141.23639810000896	142.23694100001012	142.51450309999927	-1	143.51971870000125	K	h	3
23	1	1	1	0	0	0.6853852868080139	right	-1	0	1.95	144.53903510000964	145.53985710001143	146.23005110000668	-1	147.23473030001333	K	h	3
24	1	1	0	0	1	0.3582488000392914	right	-1	1	1.8	148.24088029999984	149.24189760000445	149.60625360000995	-1	150.61020840000128	K	h	3
25	1	1	0	0	1	0.5377717018127441	right	-1	1	1.65	151.80376740000793	152.80418330000248	153.34661540000525	-1	154.35102670000924	K	h	3
26	1	1	0	1	0	0.028640499338507652	left	0	0	1.65	173.03492310000001	174.03494760001195	174.06906240001263	175.0744243000081	176.080251700012	F	e	4
27	0	1	0	0	1	3.1858386993408203	right	0	1	1.5	177.08642450001207	178.08748420000484	181.27823380001064	183.29031860000396	182.28253419999965	F	e	4
