Participant_ID	P11	Block Order	1	Date	2023-05-09-1251
Trialnumber	Winpos	Losspos	Side	Order	Choice	RT	Choiceside	Winchosen	LossChosen	TotalMoney	Fixonset	Choiceonset	Monitoronset	Winresonset	Lossresonset	stima	stimb	Blocknum
1	0	0	0	1	1	2.8691256046295166	right	0	-1	1.5	1.7349312999867834	2.698443100001896	5.577313599991612	6.58231229998637	-1	h	f	1
2	0	0	1	1	1	2.4168412685394287	left	0	-1	1.5	7.625498800014611	8.62599629999022	11.253805099986494	12.258364200009964	-1	h	f	1
3	1	1	0	1	0	0.4333975911140442	left	0	-1	1.5	13.506104600004619	14.506812600011472	14.945063199993456	15.94970940001076	-1	h	f	1
4	1	1	1	1	1	0.5437927842140198	left	1	-1	1.65	17.2355979999993	18.231514399987645	18.978994100005366	19.983687300002202	-1	h	f	1
5	1	1	1	1	1	1.272321105003357	left	1	-1	1.8	21.239798399998108	22.239012900012312	23.516131000011228	24.520754800003488	-1	h	f	1
6	1	1	1	0	0	2.1509757041931152	right	-1	0	1.8	32.0331783000147	33.04402940001455	35.2108784999873	-1	36.21566509999684	i	G	2
7	1	1	1	0	0	0.4981617033481598	right	-1	0	1.8	37.26017779999529	38.26046180000412	38.763582599989604	-1	39.768107899988536	i	G	2
8	1	1	0	0	0	0.464385986328125	left	-1	0	1.8	40.77859770000214	41.778327700012596	42.247497300006216	-1	43.25190589998965	i	G	2
9	1	1	1	0	0	0.5279356241226196	right	-1	0	1.8	44.29947239998728	45.296981399995275	45.82974180000019	-1	46.834345500014024	i	G	2
10	0	0	0	0	0	0.40518251061439514	left	-1	1	1.65	47.876840899989475	48.877495299995644	49.28869879999547	-1	50.29334179998841	i	G	2
11	1	1	1	1	0	0.8381288051605225	right	0	-1	1.65	53.84874009998748	54.853480699996	55.698369799996726	56.70273889999953	-1	o	b	3
12	1	0	0	1	0	0.41247180104255676	left	0	-1	1.65	57.94611960000475	58.947526100004325	59.364761000004364	60.36937629999011	-1	o	b	3
13	1	1	0	1	1	0.4817748963832855	right	1	-1	1.8	61.62967610001215	62.6268279000069	63.11420690000523	64.11847960000159	-1	o	b	3
14	1	1	0	0	1	0.52236008644104	right	-1	1	1.65	65.135374400008	66.13558130001184	66.66320859998814	-1	67.66799549999996	o	b	3
15	1	1	1	0	0	1.7941147089004517	right	-1	0	1.65	68.71669279999333	69.71427669998957	71.51440980000189	-1	72.51930610000272	o	b	3
16	0	1	1	0	0	0.675632119178772	right	-1	0	1.65	73.56206210001255	74.56249059998663	75.2430091999995	-1	76.24766429999727	o	b	3
17	1	1	0	0	0	0.4441761076450348	left	-1	0	1.65	77.29659680000623	78.29685670000617	78.74692820000928	-1	79.75196510000387	o	b	3
18	0	0	0	1	0	0.4355243146419525	left	1	-1	1.8	80.79530050000176	81.79562059999444	82.23609019999276	83.24064219999127	-1	o	b	3
19	0	0	1	1	0	0.7721313238143921	right	1	-1	1.95	84.25228260000586	85.25267170000006	86.03015909998794	87.03467679998721	-1	o	b	3
20	0	0	1	1	0	0.7903727293014526	right	1	-1	2.1	88.08358090001275	89.08481689999462	89.88000669999747	90.88605780000216	-1	o	b	3
21	0	0	0	1	0	0.5403100252151489	left	1	-1	2.25	91.93412580000586	92.93384449998848	93.47897319999174	94.48372499999823	-1	o	b	3
22	1	1	0	0	0	0.7778192758560181	left	-1	0	2.25	95.52900199999567	96.52972240000963	97.31231670000125	-1	98.31939140000031	o	b	3
23	1	1	1	0	0	0.45871299505233765	right	-1	0	2.25	99.36797019999358	100.364387300011	100.82886320000398	-1	101.83452939998824	o	b	3
24	1	1	0	0	0	0.2797752916812897	left	-1	0	2.25	102.91613719999441	103.91526159999194	104.19991100000334	-1	105.20510910000303	o	b	3
25	1	1	0	0	0	0.5691884160041809	left	-1	0	2.25	106.24798409998766	107.24905680000666	107.82872160000261	-1	108.83335999998963	o	b	3
26	1	1	0	1	0	4.524224758148193	left	0	0	2.25	111.66962500000955	112.66916049999418	117.19905880000442	118.20499950001249	119.22451920001185	F	j	4
27	0	1	0	0	1	1.0986981391906738	right	0	1	2.1	120.26546319999034	121.26578720001271	122.58398259998648	124.63009449999663	123.58885860000737	F	j	4
28	0	1	1	1	1	1.4768153429031372	left	0	1	1.95	125.67827090001083	126.67939060000936	128.16238419999718	129.1669447000022	130.1748063999985	F	j	4
29	1	1	1	0	0	8.403365135192871	right	0	0	1.95	131.22302770000533	132.22142560000066	140.6294620000117	142.66603490000125	141.6346993999905	F	j	4
30	0	1	1	1	0	0.6646618843078613	right	1	0	2.1	143.70852740001283	144.7091802000068	145.37856750001083	146.3851558000024	147.3971956000023	F	j	4
31	0	1	1	0	0	0.6461300253868103	right	1	0	2.25	148.44438659999287	149.44444709998788	150.09652049999568	152.10776149999583	151.10205519999727	F	j	4
32	0	0	1	1	0	0.49856171011924744	right	1	1	2.25	153.15575309999986	154.1574171000102	154.66201850000652	155.66630040001473	156.87677920001443	F	j	4
33	0	0	0	0	0	1.3757514953613281	left	1	1	2.25	158.04992499999935	159.04706189999706	160.42813320001005	162.4696535000112	161.43321930000093	F	j	4
34	1	1	0	1	0	0.7629938125610352	left	0	0	2.25	163.51574000000255	164.5124724000052	165.28212389998953	166.28680679999525	167.29662400000961	F	j	4
35	0	1	1	0	0	0.5645719170570374	right	1	0	2.4	168.3454335000133	169.34173360001296	169.91178689998924	171.9279147000052	170.91767049999908	F	j	4
