Subject Num	1	Block Order	1	date	Apr_04_1714
Trialnumber	Winpos	Losspos	Side	Order	Choice	RT	Choiceside	Winchosen	LossChosen	TotalMoney	Fixonset	Choiceonset	Monitoronset	Winresonset	Lossresonset	stima	stimb	Blocknum
1	1	1	0	1	0	1.1511551141738892	left	0	0	1.5	0.14044766599545255	1.1389199999975972	2.3117181249981513	3.317316624990781	3.8260463749902556	i	f	1
2	0	1	0	0	0	0.2537200450897217	left	1	0	1.65	4.33063637498708	5.331644915990182	5.591722332988866	7.102971249987604	6.595359457991435	i	f	1
3	0	1	1	1	1	0.2675929665565491	left	0	1	1.5	7.613524665997829	8.614119874997414	8.88780237500032	9.891819207987282	10.397519040998304	i	f	1
4	1	1	1	0	1	0.03783491626381874	left	1	1	1.5	10.904333415994188	11.904806624996127	11.948569207990658	13.457126915993285	12.952004332997603	i	f	1
5	0	1	1	1	1	1.3124558925628662	left	0	1	1.35	13.96112541599723	14.961697415987146	16.280588957990403	17.285139040992362	17.792373249991215	i	f	1
6	0	1	1	0	1	0.14545291662216187	left	0	1	1.2000000000000002	18.2992691249965	19.299703957993188	19.453340165986447	20.963173457988887	20.457236082991585	i	f	1
7	0	0	1	1	0	0.247876837849617	right	1	1	1.2000000000000002	21.471223665997968	22.472456457995577	22.72644924999622	23.73089770799561	24.237021457985975	i	f	1
8	0	0	0	0	0	0.23850445449352264	left	1	1	1.2000000000000002	24.743028624987346	25.74390770799073	25.98878595799033	27.497028249999858	26.992046999992453	i	f	1
9	1	1	0	1	0	0.0	left	0	0	1.2000000000000002	28.001549290987896	29.00229470799968	29.00921120798739	30.029986415989697	30.536982499994338	i	f	1
10	0	1	1	0	1	0.0	left	0	1	1.0500000000000003	31.047774790989934	32.048359374995925	32.053750082995975	33.56533179098915	33.060510124996654	i	f	1
11	0	1	0	1	0	0.32269537448883057	left	1	0	1.2000000000000002	39.713684707996435	40.7144544999901	41.042579249988194	42.04777504099184	42.553728290993604	K	G	2
12	0	1	1	0	0	1.113558053970337	right	1	0	1.35	43.062920915996074	44.063705332999234	45.18338966599549	46.692818874988006	46.18719024999882	K	G	2
